FNL_DESCR,DESCR,Block Offer,# Promos,Inc Sales,Inc GM ex SDM,FL_SALES,FL_MARGIN,Base Sales,RBT_SDM_CM,RBT_VEND,RBT_SDM_MPP,CSD,GM%,Sales Lift
CHOCOLATE BARS FAMILY,NESTLE FAMILY BARS (GRP RO02),2/$4.00 OR $2.49,10,13372,-1370,22338,799,7034,36,1587,0,-0.1,0.04,1.9
CHOCOLATE BARS FAMILY,NESTLE FAMILY BARS (GRP RO02),2/$4.00 OR $2.79,1,8501,-1084,16866,1508,8364,0,1562,0,-0.13,0.09,1.02
CHOCOLATE BARS IMPOR,GODIVA CHOCOLATE (GRP GL24),6,1,14688,5012,14688,5012,0,0,0,0,0.34,0.34,#DIV/0!
CHOCOLATE BARS IMPOR,GODIVA CHOCOLATE (GRP GL24),2/$6.00 or $3.49,2,11866,5090,15024,6354,3158,0,1237,0,0.43,0.42,3.76
CHOCOLATE BARS IMPOR,GODIVA CHOCOLATE (GRP GL24),2/$6.00 OR $3.99,3,8665,3210,13254,5044,4589,0,530,0,0.37,0.38,1.89
CHOCOLATE BARS IMPOR,GODIVA MASTERPIECE CHOCOLATE (GRP GM60),4.49,1,785,515,4618,1302,3833,0,0,0,0.66,0.28,0.2
CHOCOLATE BARS IMPOR,KINDER BUENO 3 PACK 129G (062020003683),4.49,1,1661,565,9520,3137,7859,0,0,0,0.34,0.33,0.21
CHOCOLATE BARS IMPOR,KINDER BUENO 3 PACK 129G (062020003683),3.99,1,5544,445,10944,2103,5400,0,0,0,0.08,0.19,1.03
CHOCOLATE BARS IMPOR,KINDER BUENO 3 PACK 129G (062020003683),4.49,2,2153,439,8878,2515,6725,0,0,0,0.2,0.28,0.32
CHOCOLATE BARS IMPOR,KINDER SURPRISE (GRP K852),1.29,2,-4185,-9012,28327,5328,32512,0,0,0,2.15,0.19,-0.13
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BAR (GRP L490),1.79,1,132671,-9763,158505,6473,25834,7155,40246,0,-0.07,0.04,5.14
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BAR (GRP L490),1.99,1,137495,-12648,166379,8487,28884,10981,16895,0,-0.09,0.05,4.76
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BAR (GRP L490),2/$4.00 OR $2.49,1,70154,2717,99383,13325,29229,0,21769,0,0.04,0.13,2.4
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BAR (GRP L490),2/$5.00 OR $2.79,1,63090,8816,92323,20638,29234,0,7175,0,0.14,0.22,2.16
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BAR (GRP L490),2/$5.00 OR $2.99,12,48085,7483,78225,18573,30140,0,7065,0,0.16,0.24,1.6
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2.99,1,17312,126,31389,4736,14077,690,2569,0,0.01,0.15,1.23
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),3.99,1,8279,2636,23949,7007,15670,0,0,0,0.32,0.29,0.53
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2.99,1,28069,1111,42100,5077,14031,0,3565,0,0.04,0.12,2
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),6,2,23223,171,39431,4688,16208,0,1987,0,0.01,0.12,1.43
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$5.00 OR $2.99,2,26416,-2995,37802,2189,8089,2928,3369,0,-0.11,0.06,3.27
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$5.00 OR $3.29,2,30743,-828,42407,1450,8453,45,3823,0,-0.03,0.03,3.64
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$6.00 OR $3.29,3,27745,-559,44646,4816,16902,675,3805,0,-0.02,0.11,1.64
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$6.00 OR $3.99,24,24217,-289,39890,4155,15672,98,3348,0,-0.01,0.1,1.55
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$6.00 OR $4.29,7,26216,386,42960,5117,16744,105,3541,0,0.01,0.12,1.57
CHOCOLATE BARS IMPOR,LINDT CHOCOLATE BARS ASSORTED (GRP LC36),2/$6.00 OR 3.49,9,26016,849,42213,5534,16197,144,3536,0,0.03,0.13,1.61
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),3.29,1,73754,4571,135893,24139,62139,0,10661,0,0.06,0.18,1.19
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),4.29,1,38593,15003,113460,38579,74866,0,0,0,0.39,0.34,0.52
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2.99,1,113684,4090,173808,22769,60124,0,14646,0,0.04,0.13,1.89
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),6,2,106302,4943,175190,26309,68888,0,8393,0,0.05,0.15,1.54
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$5.00 OR $2.99,2,124195,-13112,178802,10842,34662,12942,15407,0,-0.11,0.06,3.58
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$5.00 OR $3.29,2,138809,-6766,193843,4002,36318,0,17009,0,-0.05,0.02,3.82
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$6.00 OR $2.49,1,96787,3545,169225,26050,72438,0,13800,0,0.04,0.15,1.34
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$6.00 OR $3.29,3,143084,5909,216616,29068,73533,0,18010,0,0.04,0.13,1.95
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$6.00 OR $3.99,24,124004,7566,194076,29524,70072,0,16003,0,0.06,0.15,1.77
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$6.00 OR $4.29,6,137093,11374,210418,34369,73325,0,17119,0,0.08,0.16,1.87
CHOCOLATE BARS IMPOR,LINDT EXCELLENCE CHOCOLATE BAR (GRP L043),2/$6.00 OR 3.49,9,126362,10604,196345,32471,69983,0,16207,0,0.08,0.17,1.81
CHOCOLATE BARS IMPOR,LINDT GRAND (GRP LG63),4.79,1,2719,1108,13653,3736,10934,0,426,0,0.41,0.27,0.25
CHOCOLATE BARS IMPOR,PC BITTERSWEET DARK CHOC 300G (060383998615),3.99,1,16140,2297,20291,4302,4151,0,0,0,0.14,0.21,3.89
CHOCOLATE BARS IMPOR,PC BITTERSWEET DARK CHOC 300G (060383998615),2.99,1,9163,-1208,13314,797,4151,0,0,0,-0.13,0.06,2.21
CHOCOLATE BARS IMPOR,PC BITTERSWEET DARK CHOC 300G (060383998615),3.99,17,12979,2448,16778,4353,3799,0,0,0,0.19,0.26,3.42
CHOCOLATE BARS IMPOR,PC BITTERSWEET DARK CHOC 300G (060383998615),4.99,2,3826,929,7585,2743,3759,0,0,0,0.24,0.36,1.02
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),1.99,2,2980,-720,4871,43,1890,0,0,0,-0.24,0.01,1.58
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),3.29,1,1527,581,2802,1103,1274,0,0,0,0.38,0.39,1.2
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),1.79,2,6473,-873,8572,60,2099,0,0,0,-0.13,0.01,3.08
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),1.99,6,4528,-913,6365,-167,1837,0,0,0,-0.2,-0.03,2.46
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2.29,1,1780,-293,3247,290,1467,0,0,0,-0.16,0.09,1.21
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2.99,1,1396,104,3000,752,1605,0,0,0,0.07,0.25,0.87
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2/$4.00 OR $2.49,18,3880,-555,5999,270,1844,67,0,0,-0.14,0.05,2.1
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2/$4.00 OR $2.79,1,1095,-622,2825,56,1729,0,0,0,-0.57,0.02,0.63
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2/$5.00 OR $2.99,1,202,3,733,139,164,0,0,0,0.02,0.19,1.23
CHOCOLATE BARS IMPOR,PC CHOCOLATE (GRP PQ48),2/$5.00 OR $3.29,1,227,31,715,169,131,0,0,0,0.14,0.24,1.74
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),1.99,2,4290,1071,6738,2422,2449,0,0,0,0.25,0.36,1.75
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),1.99,6,7795,2117,10163,3370,2368,0,0,0,0.27,0.33,3.29
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),2.29,1,4393,1456,6512,2665,2118,0,0,0,0.33,0.41,2.07
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),2.99,1,2946,1588,4957,2629,2012,0,0,0,0.54,0.53,1.46
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),2/$4.00 OR $2.49,12,4466,1146,7433,2668,2407,44,0,0,0.26,0.36,1.86
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),2/$4.00 OR $2.79,1,3914,940,6288,2297,2374,0,0,0,0.24,0.37,1.65
CHOCOLATE BARS IMPOR,PC CREAMY MILK CHOCOLATE 100G (060383888473),2/$5.00 OR $2.99,1,543,257,1498,728,206,0,0,0,0.47,0.49,2.64
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),1.99,2,4290,675,8027,2723,3737,0,0,0,0.16,0.34,1.15
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2.99,1,213,158,2885,1630,2671,0,0,0,0.74,0.57,0.08
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),1.79,2,10423,2509,14023,4618,3600,0,0,0,0.24,0.33,2.9
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),1.99,7,8829,1956,12699,4025,3870,0,0,0,0.22,0.32,2.28
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2.29,1,4857,1318,8694,3447,3837,0,0,0,0.27,0.4,1.27
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2.99,1,1062,539,4216,2170,3153,0,0,0,0.51,0.51,0.34
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2/$4.00 OR $2.49,17,6727,1716,11042,3960,3665,33,0,0,0.26,0.36,1.84
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2/$4.00 OR $2.79,1,3474,221,7961,2723,4487,0,0,0,0.06,0.34,0.77
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2/$5.00 OR $2.99,1,250,98,1150,533,325,0,0,0,0.39,0.46,0.77
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE 70% 100G (060383888459),2/$5.00 OR $3.29,1,291,122,1129,546,274,0,0,0,0.42,0.48,1.06
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),1.99,2,5731,883,8728,2439,2997,0,0,0,0.15,0.28,1.91
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2.99,1,-53,-9,2265,1195,2317,0,0,0,0.17,0.53,-0.02
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),1.79,2,13004,2952,15824,4509,2820,0,0,0,0.23,0.28,4.61
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),1.99,7,8030,1439,11027,2948,2996,0,0,0,0.18,0.27,2.68
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2.29,1,1708,39,4835,1666,3127,0,0,0,0.02,0.34,0.55
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2.99,1,1187,526,3446,1636,2259,0,0,0,0.44,0.47,0.53
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2/$4.00 OR $2.49,17,7088,1532,10554,3206,2881,29,0,0,0.22,0.3,2.46
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2/$4.00 OR $2.79,1,4957,430,8843,2465,3886,0,0,0,0.09,0.28,1.28
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2/$5.00 OR $2.99,1,141,42,745,311,231,0,0,0,0.3,0.42,0.61
CHOCOLATE BARS IMPOR,PC DARK CHOCOLATE TABLET 85% 100G (060383888466),2/$5.00 OR $3.29,1,247,94,969,435,237,0,0,0,0.38,0.45,1.04
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),1.99,2,1790,81,3110,786,1320,0,0,0,0.05,0.25,1.36
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2.79,1,150,15,1180,552,1030,0,0,0,0.1,0.47,0.15
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),1.79,2,6336,1056,7484,1648,1149,0,0,0,0.17,0.22,5.52
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),1.99,7,5434,1074,6704,1762,1271,0,0,0,0.2,0.26,4.28
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2.29,1,5370,1653,6590,2295,1219,0,0,0,0.31,0.35,4.41
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2.99,1,820,327,1847,892,1026,0,0,0,0.4,0.48,0.8
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2/$4.00 OR $2.49,17,3860,858,5536,1666,1258,15,0,0,0.22,0.3,3.07
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2/$4.00 OR $2.79,1,2561,449,3902,1154,1341,0,0,0,0.18,0.3,1.91
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2/$5.00 OR $2.99,1,159,59,528,233,105,0,0,0,0.37,0.44,1.51
CHOCOLATE BARS IMPOR,PC DK CHOC ORNGE PEEL BAR 100G (060383156930),2/$5.00 OR $3.29,1,97,28,404,167,105,0,0,0,0.29,0.41,0.92
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),1.99,2,4420,238,5770,841,1350,0,0,0,0.05,0.15,3.27
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2.99,1,48,47,1168,510,1120,0,0,0,1,0.44,0.04
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),1.79,2,8575,210,9975,805,1400,0,0,0,0.02,0.08,6.12
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),1.99,7,7861,472,9171,1061,1310,0,0,0,0.06,0.12,6
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2.29,1,4390,676,5829,1268,1439,0,0,0,0.15,0.22,3.05
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2.99,1,2660,981,3610,1422,950,0,0,0,0.37,0.39,2.8
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2/$4.00 OR $2.49,17,5006,374,6648,1023,1295,29,0,0,0.07,0.15,3.86
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2/$4.00 OR $2.79,1,3872,172,5478,839,1606,0,0,0,0.04,0.15,2.41
CHOCOLATE BARS IMPOR,PC MILK CHOC ALMONDS BAR 100G (060383156954),2/$5.00 OR $2.99,1,402,108,998,305,97,0,0,0,0.27,0.31,4.13
