FNL_DESCR,DESCR,Block Offer,# Promos,Inc Sales,Inc GM ex SDM,FL_SALES,FL_MARGIN,Base Sales,RBT_SDM_CM,RBT_VEND,RBT_SDM_MPP,CSD,GM%,Sales Lift
CHOCOLATE BARS REGULAR/THICK,CADBURY SINGLE CHOCOLATE BARS (GRP CG24),4/$3.99 OR $1.49,11,3218,780,11548,4376,8330,1,1195,0,0.24,0.38,0.39
CHOCOLATE BARS REGULAR/THICK,EFFEM ASST CHOCOLATE (GRP E413),3.99,13,17574,930,58599,16776,41025,0,4982,0,0.05,0.29,0.43
CHOCOLATE BARS REGULAR/THICK,EFFEM ASST CHOCOLATE (GRP E413),4/$3.99 OR $1.49,12,10699,350,50203,16771,39504,0,4008,0,0.03,0.33,0.27
CHOCOLATE BARS REGULAR/THICK,EFFEM KING SIZE CHOC BARS (GRP E231),3,1,1809,-880,6948,959,5138,0,446,0,-0.49,0.14,0.35
CHOCOLATE BARS REGULAR/THICK,EFFEM KING SIZE CHOC BARS (GRP E231),2/$3.00 OR $1.79,2,4197,-552,8985,1159,4788,0,577,0,-0.13,0.13,0.88
CHOCOLATE BARS REGULAR/THICK,EFFEM KING SIZE CHOC BARS (GRP E231),2/$3.00 OR $1.99,1,3930,-435,9068,1404,5138,0,569,0,-0.11,0.15,0.76
CHOCOLATE BARS REGULAR/THICK,EFFEM REGULAR CANDY (GRP E113),3.99,13,1394,-278,5882,1356,4489,0,508,0,-0.2,0.23,0.31
CHOCOLATE BARS REGULAR/THICK,EFFEM REGULAR CANDY (GRP E113),4/$3.99 OR $1.49,11,302,-593,4478,991,4176,13,408,0,-1.97,0.22,0.07
CHOCOLATE BARS REGULAR/THICK,EFFEM REGULAR CANDY (GRP E113),4/$4.00 OR $1.29,1,658,-737,5424,1074,4767,0,333,0,-1.12,0.2,0.14
CHOCOLATE BARS REGULAR/THICK,HERSHEY ASST. CHOC (GRP HA42),3.99,13,2778,32,8555,2217,5777,0,727,0,0.01,0.26,0.48
CHOCOLATE BARS REGULAR/THICK,HERSHEY ASST. CHOC (GRP HA42),4/$3.99 OR $1.49,11,3325,351,8453,2340,5128,0,709,0,0.11,0.28,0.65
CHOCOLATE BARS REGULAR/THICK,HERSHEY REGULAR BARS ASSORTED (GRP H088),3.99,13,13266,-2181,57958,14509,44692,0,4886,0,-0.16,0.25,0.3
CHOCOLATE BARS REGULAR/THICK,HERSHEY REGULAR BARS ASSORTED (GRP H088),4/$3.99 OR $1.49,11,16646,-265,57909,15366,41263,0,4856,0,-0.02,0.27,0.4
CHOCOLATE BARS REGULAR/THICK,NESTLE CHOCOLATE BAR REGULAR (GRP R014),0.99,1,8821,-2464,24025,3766,15204,140,1701,0,-0.28,0.16,0.58
CHOCOLATE BARS REGULAR/THICK,NESTLE CHOCOLATE BAR REGULAR (GRP R014),3.99,14,4817,-1336,19714,5625,14896,921,1262,0,-0.28,0.29,0.32
CHOCOLATE BARS REGULAR/THICK,NESTLE CHOCOLATE BAR REGULAR (GRP R014),2/$2.49 OR $1.29,1,6032,-206,19991,7721,13959,2163,1230,0,-0.03,0.39,0.43
CHOCOLATE BARS REGULAR/THICK,NESTLE CHOCOLATE BAR REGULAR (GRP R014),2/$2.49 OR $1.79,1,11305,-275,27068,10159,15763,3861,1685,0,-0.02,0.38,0.72
CHOCOLATE BARS REGULAR/THICK,NESTLE CHOCOLATE BAR REGULAR (GRP R014),4/$3.99 OR $1.49,11,3167,-1019,15560,4192,12393,55,982,0,-0.32,0.27,0.26
CHOCOLATE BARS REGULAR/THICK,NESTLE KING SIZE CHOC BAR (GRP N701),1.49,1,6491,-980,11074,889,4583,0,721,0,-0.15,0.08,1.42
CHOCOLATE BARS REGULAR/THICK,NESTLE KING SIZE CHOC BAR (GRP N701),3,1,6198,467,10890,2219,4692,0,623,0,0.08,0.2,1.32
CHOCOLATE BARS REGULAR/THICK,NESTLE KING SIZE CHOC BAR (GRP N701),2/$3.00 OR $1.79,2,9143,328,14330,2901,5187,541,851,0,0.04,0.2,1.76
CHOCOLATE BARS REGULAR/THICK,NESTLE KING SIZE CHOC BAR (GRP N701),2/$3.00 OR $1.99,2,10927,1366,15369,3107,4442,0,879,0,0.13,0.2,2.46
CHOCOLATE BARS REGULAR/THICK,SMARTIES BARS (GRP NB18),0.99,1,14662,-13356,74833,12198,60170,0,5243,0,-0.91,0.16,0.24
CHOCOLATE BARS REGULAR/THICK,SMARTIES BARS (GRP NB18),3.99,14,25262,-240,81140,23789,55877,258,4877,0,-0.01,0.29,0.45
CHOCOLATE BARS REGULAR/THICK,SMARTIES BARS (GRP NB18),2/$2.49 OR $1.29,1,14799,2170,67136,25472,52338,351,3586,0,0.15,0.38,0.28
CHOCOLATE BARS REGULAR/THICK,SMARTIES BARS (GRP NB18),2/$3.00 OR $1.79,1,16310,5251,72175,30120,55865,328,3502,0,0.32,0.42,0.29
CHOCOLATE BARS REGULAR/THICK,SMARTIES BARS (GRP NB18),4/$3.99 OR $1.49,11,40041,8153,92957,32040,52916,0,5469,0,0.2,0.34,0.76
ORGANIC CHOCOLATE,GREEN & BLACK ORGANIC CHOCOLAT (GRP GA34),3.99,1,9228,1582,15810,3327,6582,0,0,0,0.17,0.21,1.4
